case_id,service,system_status,severity,primary_drift,secondary_drifts,conflict_detected,conflict_resolution,operational_drift_classification,drift_types,expected_escalation,actual_escalation,calibration,structured,observable,deterministic,governance_safe,safe_to_continue,recommended_action
S08-001,checkout,healthy,low,aligned,,False,single drift label,aligned,aligned,none,none,calibrated,True,True,True,True,True,continue with normal monitoring
S08-002,unknown,unknown,medium,ambiguous,,False,single drift label,unclear/incomplete,ambiguous,none,not-visible,calibrated,False,False,True,True,False,request a clearer operational update
S08-003,unknown,unknown,medium,ambiguous,,False,single drift label,unclear/incomplete,ambiguous,none,not-visible,calibrated,False,False,True,True,False,request a clearer operational update
S08-004,search,healthy,low,aligned,,False,single drift label,aligned,aligned,none,none,calibrated,True,True,True,True,True,continue with normal monitoring
S08-005,unknown,unknown,medium,ambiguous,,False,single drift label,unclear/incomplete,ambiguous,none,not-visible,calibrated,False,False,True,True,False,request a clearer operational update
S08-006,auth,healthy,low,aligned,,False,single drift label,aligned,aligned,none,none,calibrated,True,True,True,True,True,continue with normal monitoring
S08-007,unknown,unknown,medium,ambiguous,,False,single drift label,unclear/incomplete,ambiguous,none,not-visible,calibrated,False,False,True,True,False,request a clearer operational update
S08-008,unknown,healthy,low,aligned,,False,single drift label,aligned,aligned,none,none,calibrated,True,True,True,True,True,continue with normal monitoring
S08-009,unknown,unknown,medium,ambiguous,,False,single drift label,unclear/incomplete,ambiguous,none,not-visible,calibrated,False,False,True,True,False,request a clearer operational update
S08-010,unknown,healthy,low,aligned,,False,single drift label,aligned,aligned,none,none,calibrated,True,True,True,True,True,continue with normal monitoring
