case_id,service,system_status,severity,primary_drift,secondary_drifts,conflict_detected,conflict_resolution,operational_drift_classification,drift_types,expected_escalation,actual_escalation,calibration,structured,observable,deterministic,governance_safe,safe_to_continue,recommended_action
S09-001,payments,blocked,critical,authority-drift,replay-drift; evidence-drift; ownership-drift; dependency-drift; escalation-drift,True,"authority-drift selected by drift_priority over replay-drift, evidence-drift, ownership-drift, dependency-drift, escalation-drift",authority-risk,authority-drift; replay-drift; evidence-drift; ownership-drift; dependency-drift; escalation-drift,governance-review,none,under-escalated,True,False,False,False,False,hold execution until approval and authorization are visible
S09-002,checkout,degraded,high,replay-drift,evidence-drift; escalation-drift,True,"replay-drift selected by drift_priority over evidence-drift, escalation-drift",replay-risk,replay-drift; evidence-drift; escalation-drift,team-lead,service-owner,under-escalated,True,False,False,False,False,rerun replay before treating the decision as stable
S09-003,billing,blocked,medium,ownership-drift,dependency-drift,True,ownership-drift selected by drift_priority over dependency-drift,integration-risk,ownership-drift; dependency-drift,service-owner,service-owner,calibrated,True,True,True,True,True,assign an owner before execution continues
S09-004,search,healthy,low,escalation-drift,,False,single drift label,authority-risk,escalation-drift,none,governance-review,over-escalated,True,True,True,False,False,correct escalation level before continuing
S09-005,inventory,unknown,high,authority-drift,replay-drift; evidence-drift; escalation-drift,True,"authority-drift selected by drift_priority over replay-drift, evidence-drift, escalation-drift",authority-risk,authority-drift; replay-drift; evidence-drift; escalation-drift,governance-review,team-lead,under-escalated,False,False,False,False,False,hold execution until approval and authorization are visible
S09-006,auth,blocked,medium,escalation-drift,dependency-drift,True,escalation-drift selected by drift_priority over dependency-drift,authority-risk,dependency-drift; escalation-drift,service-owner,team-lead,over-escalated,True,False,True,False,False,correct escalation level before continuing
S09-007,unknown,healthy,low,aligned,,False,single drift label,aligned,aligned,none,none,calibrated,True,True,True,True,True,continue with normal monitoring
S09-008,orders,unknown,critical,authority-drift,replay-drift; escalation-drift,True,"authority-drift selected by drift_priority over replay-drift, escalation-drift",authority-risk,authority-drift; replay-drift; escalation-drift,governance-review,incident-commander,under-escalated,False,True,False,False,False,hold execution until approval and authorization are visible
S09-009,queue,degraded,high,escalation-drift,evidence-drift; dependency-drift,True,"escalation-drift selected by drift_priority over evidence-drift, dependency-drift",authority-risk,evidence-drift; dependency-drift; escalation-drift,team-lead,service-owner,under-escalated,True,False,True,False,False,correct escalation level before continuing
S09-010,unknown,unknown,high,escalation-drift,evidence-drift; ownership-drift,True,"escalation-drift selected by drift_priority over evidence-drift, ownership-drift",authority-risk,evidence-drift; ownership-drift; escalation-drift,team-lead,none,under-escalated,False,False,True,False,False,correct escalation level before continuing
